Company,Funding,Employee Growth,,
Sense,47000000,95,,
Tribal Credit,143400000,292,,
Upside Business Travel,265000000,37,,
finn.auto,908300000,208,,
Helbiz,78400000,32,,
BigID,246100000,55,,
Core Scientific,169000000,87,,
Xwing,54000000,158,,
,,,,
Genesis Global Technology,249800000,156,,
Chipper Cash,302200000,117,,
FlashParking,64300000,34,,
Shikho,1600000,585,,
eSentire,411200000,32,,
Fyllo,98000000,49,,
Quantum Metric,251000000,59,,
,,,,
Encamp,17200000,62,,
Hotel Engine,81000000,138,,
Cover Genius,95100000,108,,
A24,225000000,33,,
Luminous Computing,105000000,88,,
Divergent 3D,251900000,43,,
Deliverect,300400000,115,,
Everlaw,298600000,43,,
Beyond Identity,205000000,30,,
Geneva Financial,13600000,15,,
Pentera,189500000,71,,
Atlan,65000000,85,,
Rokt,487000000,27,,
Octane Lending,401000000,73,,
Motorway,276100000,82,,
Roofstock,270000000,110,,
Wonder,14000000,44,,
DarioHealth Corp.,169000000,34,,
Hasura,136500000,36,,
Oura,148300000,42,,
Conductor,210600000,28,,
,,,,
,,,,
Qualified,68000000,221,,
Origin,12300000,135,,
Tropic,67100000,306,,
Mynd,174900000,82,,
Route,481900000,39,,
,,,,
Masterworks.io,110000000,160,,
Sense Energy,47000000,45,,
Deserve,544200000,43,,
Atmosphere.tv,148700000,144,,
Nova Labs,364800000,29,,
Kallyope,479000000,26,,
SmartRent,256500000,41,,
Bowery Farming,646600000,54,,
Leap Finance,77500000,223,,
SRAX,40100000,8,,
Multiverse,414000000,114,,
Ladder Life,194000000,63,,
Gigforce,5000000,463,,
Einride,152300000,147,,
Kandji,188400000,164,,
Boxlight,60400000,3,,
,,,,
AutoGrid,161000000,39,,
Codashop,715300000,71,,
Sarcos Robotics,316100000,83,,
OWKIN,254100000,43,,
CHEQ,182000000,100,,
Somatus,465100000,89,,
Thatgamecompany,188800000,55,,
airSlate,130000000,23,,
EDO,1800000,55,,
Zero Hash,169900000,312,,
VulcanForms,355000000,98,,
Invoca,118500000,24,,
SWORD Health,323500000,115,,
FourKites,201500000,19,,
Scandit,273100000,69,,
HawkEye 360,304300000,26,,
GoCardless,529300000,37,,
Traceable AI,20000000,49,,
BrightInsight,166000000,5,,
Edge Delta,18000000,275,,
0x,109000000,89,,
Get Spiffy,50100000,46,,
SURE Insurance,123100000,103,,
Scalapay,727500000,160,,
,,,,
Linktree,165700000,173,,
Satellogic,223800000,59,,
Alexco Resource Corp.,47900000,13,,
Roman Health,1000000000,25,,
Greenwood,43000000,154,,
AlphaSense,520200000,67,,
GrowGeneration,247800000,12,,
Contrast Security,269000000,23,,
Palm NFT Studio,27000000,439,,
Extend Enterprises,54000000,94,,
Alexandria Real Estate Equities,8700000,18,,
Alexco Environmental Group,47900000,9,,
Cirkul,111600000,77,,
Redwood Trust,172200000,6,,
Ergatta,35100000,91,,
DriveWealth Holdings,550800000,65,,
UPSIDE Foods,206000000,48,,
Rho Business Banking,194900000,290,,
Lunchbox,72100000,52,,
SuccessKPI,33000000,431,,
IL MAKIAGE,29000000,17,,
FreeWire Technologies,105200000,42,,
Axie Infinity,9000000,262,,
Vendr,216000000,162,,
May Mobility,166600000,17,,
blueground co,257400000,74,,
SnapLogic,371300000,46,,
,,,,
CloudTrucks,141600000,200,,
RumbleON,332500000,69,,
CareBridge,180000000,71,,
Qonto,703900000,75,,
Vagaro,163000000,21,,
Movable Ink,97300000,44,,
solo.io,171500000,110,,
BeyondID,9000000,67,,
QuotaPath,29800000,167,,
Suki,95000000,77,,
Incode Technologies,257100000,23,,
Coda Payments,715300000,33,,
Flock Safety,380600000,61,,
Databook,71000000,193,,
Chronosphere,254400000,188,,
Hyperfine,216000000,56,,
ZeroAvia,110000000,120,,
Optibus,260000000,77,,
Optibus,160000000,77,,
Morty,36500000,74,,
CredAvenue,226700000,222,,
KuCoin,170000000,60,,
Athelas,150100000,129,,
Mamaearth,110800000,129,,
Tessera Therapeutics,431800000,129,,
OneWeb,4700000,42,,
BostonGene,200000000,30,,
EasyKnock,401700000,33,,
Rec Room,294000000,91,,
Emilio Health,104000000,235,,
Dragos,364200000,67,,
Paige,220000000,56,,
Fattmerchant,18300000,51,,
Orca Security,632000000,133,,
,,,,
Ribbon,905000000,195,,
Biofourmis,463600000,77,,
Claroty,640000000,37,,
Motiv Power Systems,145600000,12,,
Digits,32500000,68,,
unybrands,325000000,319,,
Happy Money,191600000,16,,
ChartHop,54000000,203,,
Provi,3200000,88,,
H2O.ai,251100000,18,,
Augury,294000000,75,,
Misfits Market,526500000,46,,
Jet Edge International,285000000,16,,
OctoML,131900000,85,,
Accelerant Holdings,193000000,85,,
NYMBUS,121400000,41,,
causaLens,50900000,81,,
Trovata.io,30600000,53,,
GRIID,525000000,137,,
Glassbox Digital,70500000,38,,
Ocrolus,127000000,47,,
ABL Space Systems,419000000,79,,
PosiGen,223000000,36,,
StudySmarter,64200000,500,,
Evisort,55600000,65,,
Mindler,2500000,517,,
Staffbase,190800000,40,,
Activ Surgical,85400000,34,,
Flywheel.io,51000000,18,,
