Quarter,Agriculture,Manufacturing,Mining,Public Administration,Construction,Services,Transport
01/03/2018,2753,48371,4425,23072,30665,388706,19404
01/06/2018,2802,48367,5112,22959,30659,390943,19647
01/09/2018,2912,48290,5709,23322,30856,393003,19813
01/12/2018,3108,47594,6072,23558,30772,394858,20225
01/03/2019,3274,48807,5911,24502,31264,395869,20432
01/06/2019,3314,48098,5386,24416,31083,396848,20472
01/09/2019,3444,48686,5351,24519,31319,399716,20208
01/12/2019,3499,49304,5129,24366,31104,398806,19447
01/03/2020,3474,49807,5267,23768,30579,386680,17314
01/06/2020,3082,40833,5405,23578,19764,304536,9962
01/09/2020,3243,50751,5246,22927,28048,350290,14339
01/12/2020,3260,53723,5152,22775,29486,352323,14998
01/03/2021,3330,53366,4898,23026,29799,346472,14614
01/06/2021,3407,54070,3978,23809,30936,373081,15173
01/09/2021,3533,53592,4948,24140,30446,382023,16033
01/12/2021,3541,52918,4780,24311,30878,390026,16899
01/03/2022,3562,52087,4877,24552,31837,392394,17407
01/06/2022,3586,51399,4742,24639,32188,393236,17358
01/09/2022,3585,49969,4681,24841,32120,393556,17413
